client_id,Variation
169,NA
555,Test
647,Test
722,NA
934,Test
1028,Control
1104,Control
1186,Control
1195,Control
1197,Control
1336,Test
1346,Test
1368,Control
1516,Test
1543,NA
1643,Test
1677,NA
1702,Test
1755,Test
1836,Test
1894,NA
1936,Test
2078,NA
2130,NA
2439,Control
2581,Control
2720,Test
3232,Test
3572,Test
3647,Control
3743,Control
3989,NA
4369,Test
4484,Test
4603,Test
4717,Test
4838,NA
4870,Test
4955,NA
5271,NA
5354,Control
5444,NA
5459,NA
5845,Test
6022,Test
6096,NA
6150,Test
6468,NA
6567,NA
6642,Control
6904,Test
6977,Control
6985,Control
7005,NA
7020,Control
7561,Test
7563,Test
7567,Control
7657,Test
7723,Test
7856,NA
7934,Test
8023,Test
8030,NA
8039,Control
8055,Test
8101,Control
8124,Control
8583,NA
8610,Test
8673,NA
8712,Test
8820,Test
9229,Control
9536,NA
9751,Test
9767,Control
9845,Control
9916,Test
10344,Control
10363,Test
10434,NA
10552,NA
11040,Test
11054,Control
11070,Control
11122,Control
11309,Test
11880,Test
11922,NA
12045,Control
12115,NA
12785,Test
13009,Control
13183,NA
13735,Test
13831,Control
14638,NA
14664,NA
14690,Test
14716,NA
14775,Control
15050,Test
15189,Test
15246,NA
15352,NA
15688,NA
15708,NA
15753,Test
15807,Test
16095,Control
16098,Test
16135,Control
16202,Control
16291,NA
16295,Test
16549,Control
16679,Control
16744,Control
16747,Control
16881,Test
17008,Control
17036,Control
17160,Control
17170,Test
17318,Test
17404,Test
18449,NA
18549,Test
18654,NA
18660,Control
18973,Control
19060,Test
19263,NA
19573,NA
19613,Control
19782,Control
19813,Control
19832,Control
20006,NA
20091,Control
20108,NA
20185,Test
20537,Control
20564,Test
20643,Test
20668,Test
20898,Control
21011,NA
21098,NA
21200,Test
21242,Control
21281,Test
21353,Control
21403,Test
21498,Control
21522,Test
21596,Test
21719,Control
21940,Control
21970,Control
22007,Test
22714,NA
22793,Test
22885,Control
23175,NA
23276,Control
23308,NA
23400,NA
23538,NA
23690,NA
23864,Control
23914,Test
24002,NA
24079,Control
24443,Test
24491,NA
24572,Test
24586,NA
24703,Test
24710,Control
24841,Test
25022,Test
25026,Test
25043,Control
25378,NA
25766,Control
26036,Test
26070,Test
26105,Test
26196,NA
26211,Control
26286,Control
26451,NA
26696,Test
26747,NA
26763,NA
26938,NA
27021,Control
27075,Test
27241,Control
27270,NA
27554,Control
27764,Test
27907,Test
27988,Control
28076,NA
28241,Test
28371,Test
28542,Control
28705,Control
28710,NA
28845,Control
28857,Control
28911,NA
29079,NA
29227,Test
29527,Test
29595,Control
29716,NA
30096,NA
30318,Test
30360,NA
30462,Test
30493,Test
30630,NA
31166,NA
31191,Control
31264,Control
31336,Test
31404,Test
31499,Test
31502,Control
31597,Test
31715,Control
31766,Test
32084,NA
32197,Control
32305,Control
32429,NA
32471,Test
32521,Test
32746,Test
32859,Control
33190,Control
33265,Test
33463,Control
33472,Test
33752,Test
34067,Control
34101,Test
34267,Control
34491,NA
34501,Control
34603,Control
34608,Test
34631,Control
34679,NA
35010,Test
35087,Control
35091,Test
35138,Test
35181,Test
35257,Control
35346,Control
35417,Control
35476,Test
35883,NA
35922,Test
36109,Control
36308,NA
36342,Test
36363,Test
36430,Test
36432,Test
36555,Test
36986,Test
37046,NA
37064,Control
37237,NA
37295,Control
37363,NA
37408,Control
37423,Test
37524,NA
37616,NA
37667,Test
37691,Test
37705,Test
37872,NA
37897,Test
37961,NA
38275,Test
38283,Test
38340,Test
38384,NA
38551,Test
38685,Control
38714,Control
38775,Test
38854,NA
38930,Control
38963,Control
39004,Test
39041,NA
39043,NA
39075,Control
39566,Test
39968,Control
40140,NA
40283,Test
40316,NA
40439,Test
40969,Test
41122,Test
41127,NA
41142,Test
41199,Test
41237,Test
41516,Control
41554,NA
41652,Control
41924,Test
42082,Control
42108,NA
42219,NA
42296,Control
42349,Test
42725,Test
42876,NA
43265,NA
43494,Control
43645,Test
43766,Control
44060,Control
44216,Control
44293,NA
44437,NA
44705,Test
44860,Control
44932,Test
44995,Test
45131,Test
45232,Test
45252,NA
45485,Test
